TradeSummary(id=1063, instrument=GBP_USD, price=1.22307, openTime=2020-03-16T18:04:21.197663428Z, state=CLOSED, initialUnits=700, initialMarginRequired=35.0000, currentUnits=0, realizedPL=1.5358, unrealizedPL=null, marginUsed=null, averageClosePrice=1.22576, closingTransactionIDs=[1117], financing=0.0000, closeTime=2020-03-16T19:34:45.428721934Z, clientExtensions=null, takeProfitOrderID=1064, stopLossOrderID=1065, trailingStopLossOrderID=null)
TradeSummary(id=1059, instrument=EUR_JPY, price=118.320, openTime=2020-03-16T18:04:20.871384179Z, state=CLOSED, initialUnits=870, initialMarginRequired=39.7359, currentUnits=0, realizedPL=1.7891, unrealizedPL=null, marginUsed=null, averageClosePrice=118.587, closingTransactionIDs=[1077], financing=0.0000, closeTime=2020-03-16T18:30:10.229547378Z, clientExtensions=null, takeProfitOrderID=1075, stopLossOrderID=1061, trailingStopLossOrderID=null)
TradeSummary(id=1069, instrument=GBP_JPY, price=129.618, openTime=2020-03-16T18:05:21.987200304Z, state=CLOSED, initialUnits=790, initialMarginRequired=39.5000, currentUnits=0, realizedPL=1.1863, unrealizedPL=null, marginUsed=null, averageClosePrice=129.813, closingTransactionIDs=[1087], financing=0.0000, closeTime=2020-03-16T18:49:18.041034697Z, clientExtensions=null, takeProfitOrderID=1070, stopLossOrderID=1071, trailingStopLossOrderID=null)
TradeSummary(id=1051, instrument=USD_JPY, price=105.945, openTime=2020-03-16T18:03:20.719795519Z, state=CLOSED, initialUnits=790, initialMarginRequired=32.3037, currentUnits=0, realizedPL=1.0525, unrealizedPL=null, marginUsed=null, averageClosePrice=106.118, closingTransactionIDs=[1091], financing=0.0000, closeTime=2020-03-16T18:49:21.621402938Z, clientExtensions=null, takeProfitOrderID=1081, stopLossOrderID=1053, trailingStopLossOrderID=null)
TradeSummary(id=1055, instrument=EUR_USD, price=1.11667, openTime=2020-03-16T18:03:21.105881239Z, state=CLOSED, initialUnits=-580, initialMarginRequired=26.4842, currentUnits=0, realizedPL=0.5167, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11558, closingTransactionIDs=[1095], financing=0.0000, closeTime=2020-03-16T18:49:26.375927228Z, clientExtensions=null, takeProfitOrderID=1056, stopLossOrderID=1057, trailingStopLossOrderID=null)
TradeSummary(id=1063, instrument=GBP_USD, price=1.22307, openTime=2020-03-16T18:04:21.197663428Z, state=CLOSED, initialUnits=700, initialMarginRequired=35.0000, currentUnits=0, realizedPL=1.5358, unrealizedPL=null, marginUsed=null, averageClosePrice=1.22576, closingTransactionIDs=[1117], financing=0.0000, closeTime=2020-03-16T19:34:45.428721934Z, clientExtensions=null, takeProfitOrderID=1064, stopLossOrderID=1065, trailingStopLossOrderID=null)
TradeSummary(id=1171, instrument=GBP_JPY, price=129.946, openTime=2020-03-16T21:02:17.494079574Z, state=CLOSED, initialUnits=870, initialMarginRequired=43.5000, currentUnits=0, realizedPL=2.0156, unrealizedPL=null, marginUsed=null, averageClosePrice=130.248, closingTransactionIDs=[1195], financing=0.0000, closeTime=2020-03-16T22:54:24.621448512Z, clientExtensions=null, takeProfitOrderID=1172, stopLossOrderID=1173, trailingStopLossOrderID=null)
TradeSummary(id=1163, instrument=EUR_JPY, price=118.385, openTime=2020-03-16T20:30:57.085635011Z, state=CLOSED, initialUnits=580, initialMarginRequired=26.4724, currentUnits=0, realizedPL=0.9967, unrealizedPL=null, marginUsed=null, averageClosePrice=118.609, closingTransactionIDs=[1199], financing=-0.0113, closeTime=2020-03-16T22:54:31.163369722Z, clientExtensions=null, takeProfitOrderID=1164, stopLossOrderID=1165, trailingStopLossOrderID=null)
TradeSummary(id=1103, instrument=EUR_USD, price=1.11602, openTime=2020-03-16T19:02:58.680655116Z, state=CLOSED, initialUnits=790, initialMarginRequired=36.0272, currentUnits=0, realizedPL=0.5536, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11688, closingTransactionIDs=[1203], financing=-0.0727, closeTime=2020-03-16T22:54:37.249960917Z, clientExtensions=null, takeProfitOrderID=1104, stopLossOrderID=1105, trailingStopLossOrderID=null)
TradeSummary(id=1223, instrument=GBP_USD, price=1.22695, openTime=2020-03-16T23:03:31.541698047Z, state=CLOSED, initialUnits=-540, initialMarginRequired=27.0000, currentUnits=0, realizedPL=2.3427, unrealizedPL=null, marginUsed=null, averageClosePrice=1.22165, closingTransactionIDs=[1273], financing=0.0000, closeTime=2020-03-17T07:56:48.945147143Z, clientExtensions=null, takeProfitOrderID=1224, stopLossOrderID=1225, trailingStopLossOrderID=null)
